                  epoch,             train/loss,  metrics/accuracy_top1,  metrics/accuracy_top5,               val/loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.4218,                0.64953,                      1,                 1.3737,             0.00023294,             0.00023294,             0.00023294
                      2,                0.83195,                0.77103,                      1,                 1.1875,              0.0004554,              0.0004554,              0.0004554
                      3,                0.61615,                 0.6729,                      1,                 1.2161,             0.00066215,             0.00066215,             0.00066215
                      4,                0.51464,                0.85514,                      1,                 1.0809,             0.00064331,             0.00064331,             0.00064331
                      5,                0.41947,                 0.8785,                      1,                 1.0569,             0.00061975,             0.00061975,             0.00061975
                      6,                0.37241,                0.85047,                      1,                 1.0628,             0.00059619,             0.00059619,             0.00059619
                      7,                0.29918,                0.85514,                      1,                 1.0633,             0.00057263,             0.00057263,             0.00057263
                      8,                0.29489,                0.88785,                      1,                   1.03,             0.00054907,             0.00054907,             0.00054907
                      9,                0.25593,                0.88785,                      1,                 1.0363,              0.0005255,              0.0005255,              0.0005255
                     10,                0.22105,                0.90654,                      1,                  1.026,             0.00050194,             0.00050194,             0.00050194
                     11,                0.21701,                0.88785,                      1,                 1.0258,             0.00047838,             0.00047838,             0.00047838
                     12,                0.22307,                 0.8972,                      1,                 1.0155,             0.00045482,             0.00045482,             0.00045482
                     13,                0.20091,                0.90654,                      1,                0.99575,             0.00043126,             0.00043126,             0.00043126
                     14,                0.15563,                0.91121,                      1,                0.99979,             0.00040769,             0.00040769,             0.00040769
                     15,                0.14738,                0.91121,                      1,                0.99351,             0.00038413,             0.00038413,             0.00038413
                     16,                0.16508,                 0.8972,                      1,                 1.0139,             0.00036057,             0.00036057,             0.00036057
                     17,                0.15501,                0.91121,                      1,                0.99421,             0.00033701,             0.00033701,             0.00033701
                     18,                0.14484,                0.92056,                      1,                 0.9954,             0.00031345,             0.00031345,             0.00031345
                     19,                0.13765,                0.90654,                      1,                0.99867,             0.00028988,             0.00028988,             0.00028988
                     20,                0.13853,                0.92056,                      1,                0.99575,             0.00026632,             0.00026632,             0.00026632
                     21,                0.14156,                0.91589,                      1,                0.98654,             0.00024276,             0.00024276,             0.00024276
                     22,                0.11737,                0.92056,                      1,                0.99365,              0.0002192,              0.0002192,              0.0002192
                     23,                0.12524,                0.91589,                      1,                0.99477,             0.00019564,             0.00019564,             0.00019564
                     24,                0.11588,                0.91121,                      1,                0.98919,             0.00017207,             0.00017207,             0.00017207
                     25,                0.09659,                0.91589,                      1,                0.98605,             0.00014851,             0.00014851,             0.00014851
                     26,                0.09155,                0.92056,                      1,                0.98535,             0.00012495,             0.00012495,             0.00012495
                     27,                0.11211,                0.92056,                      1,                0.98424,             0.00010139,             0.00010139,             0.00010139
                     28,                0.09181,                0.91589,                      1,                0.98075,             7.7826e-05,             7.7826e-05,             7.7826e-05
                     29,                0.07608,                0.91589,                      1,                0.98061,             5.4264e-05,             5.4264e-05,             5.4264e-05
                     30,                0.06635,                0.91589,                      1,                0.97928,             3.0702e-05,             3.0702e-05,             3.0702e-05
